url;name;country;price;color;taste;yearPos;usdPrice;colorFac
http://winestyle.ru/products/Contadi-Castaldi-Franciacorta-Brut-DOCG-gift-box.html;Contadi Castaldi, Franciacorta Brut DOCG, gift box;Italy;4346;white;dry;NA;60;white
http://winestyle.ru/products/Nicolas-Feuillatte-Demi-Sec.html;Nicolas Feuillatte, Demi-Sec;France;4395;white;semi dry;NA;61;white
http://winestyle.ru/products/Tribaut-Schloesser-Brut-Origine-gift-box.html;Tribaut Schloesser, Brut Origine, gift box;France;4434;white;dry;NA;62;white
http://winestyle.ru/products/Lanson-Selection-Alain-Ducasse-Brut.html;Lanson Selection Alain Ducasse Brut;France;4495;white;dry;NA;62;white
http://winestyle.ru/products/Brut-Grande-Reserve-750.html;Brut Grande Reserve;France;5896;white;dry;NA;82;white
http://winestyle.ru/products/Lanson-Gold-Label-Brut-Vintage-2002.html;Lanson, "Gold Label" Brut Vintage, 2002;France;5896;white;dry;2002;82;white
http://winestyle.ru/products/Boizel-Grand-Vintage-Brut-2004.html;Boizel, "Grand Vintage" Brut, 2004;France;5899;white;dry;2004;82;white
http://winestyle.ru/products/Brut-Laurent-Perrier-gift-box-with-2-glasses.html;Brut Laurent-Perrier, gift box with 2 glasses;France;6103;white;dry;NA;85;white
http://winestyle.ru/products/Jacquesson-Cuvee-734-Brut.html;Jacquesson, "Cuvee ¹ 734" Brut;France;6117;white;dry;NA;85;white
http://winestyle.ru/products/Delamotte-Brut-Blanc-de-Blancs-gift-box.html;Delamotte, Brut Blanc de Blancs, gift box;France;6313;white;dry;NA;88;white
http://winestyle.ru/products/Nicolas-Feuillatte-Brut-Rose.html;Nicolas Feuillatte, Brut Rose;France;6597;rose;dry;NA;92;rose
http://winestyle.ru/products/Veuve-Clicquot-Rich-Reserve-2004.html;Veuve Clicquot Rich Reserve, 2004;France;6794;white;dry;2004;94;white
http://winestyle.ru/products/Contadi-Castaldi-Franciacorta-Soul-Saten-2006.html;Contadi Castaldi, Franciacorta "Soul Saten", 2006;Italy;6808;white;dry;2006;95;white
http://winestyle.ru/products/Brut-Vintage-2008-gift-box-Deluxe.html;Brut Vintage, 2008, gift box "Deluxe";France;6997;white;dry;2008;97;white
http://winestyle.ru/products/Bollinger-Special-Cuvee-Brut-750.html;Bollinger, "Special Cuvee" Brut;France;7016;white;dry;NA;97;white
http://winestyle.ru/products/Nicolas-Feuillatte-Brut-Rose-AOC-in-gift-box.html;Nicolas Feuillatte, Brut Rose, gift box;France;7158;rose;dry;NA;99;rose
http://winestyle.ru/products/Brut-Rose-AOC-2010-gift-box-Deluxe.html;Brut Rose AOC, 2010, gift box "Deluxe";France;7198;rose;dry;2010;100;rose
http://winestyle.ru/products/Champagne-Ployez-Jacquemart-Blanc-de-Blancs-Extra-Brut-2005.html;Champagne Ployez-Jacquemart, Blanc de Blancs Extra Brut, 2005;France;7436;white;dry;2005;103;white
http://winestyle.ru/products/Bellavista-Franciacorta-Gran-Cuvee-Rose-2007.html;Bellavista, Franciacorta "Gran Cuvee Rose", 2007;Italy;7589;rose;dry;2007;105;rose
http://winestyle.ru/products/Gosset-Grand-Blanc-de-Blancs.html;Gosset, "Grand Blanc de Blancs";France;7698;white;dry;NA;107;white
http://winestyle.ru/products/Henriot-Brut-Blanc-de-Blancs-gift-box.html;Henriot, Brut Blanc de Blancs, gift box;France;7749;white;dry;NA;108;white
http://winestyle.ru/products/Louis-Roederer-Brut-Blanc-de-Blancs-2009.html;Louis Roederer, Brut Blanc de Blancs, 2009;France;7998;white;dry;2009;111;white
http://winestyle.ru/products/Deutz-Brut-Rose-gift-box.html;Deutz Brut Rose, gift box;France;8003;rose;dry;NA;111;rose
http://winestyle.ru/products/Bellavista-Franciacorta-Gran-Cuvee-Saten.html;Bellavista Franciacorta Gran Cuvee Saten;Italy;8180;white;dry;NA;114;white
http://winestyle.ru/products/Diadema-Blanc-de-Blancs-Brut-Champagne-AOC-2002-gift-box.html;"Diadema" Blanc de Blancs Brut, Champagne AOC, 2002, gift box;France;12820;white;dry;2002;178;white
http://winestyle.ru/products/Collet-Esprit-Couture-Brut-gift-box.html;Collet, "Esprit Couture" Brut, gift box;France;13683;white;dry;NA;190;white
http://winestyle.ru/products/Boizel-Joyau-de-France-Brut-1989-gift-box.html;Boizel, "Joyau de France" Brut, 1989, gift box;France;13728;white;dry;1989;191;white
http://winestyle.ru/products/Dom-Perignon-2005.html;"Dom Perignon", 2005;France;15448;white;dry;2005;215;white
http://winestyle.ru/products/Champagne-Ployez-Jacquemart-Liesse-d-Harbonville-Brut-1998.html;Champagne Ployez-Jacquemart, "Liesse d'Harbonville" Brut, 1998;France;16271;white;dry;1998;226;white
http://winestyle.ru/products/Billecart-Salmon-Brut-Blanc-de-Blancs-2004.html;Billecart-Salmon, Brut Blanc de Blancs, 2004;France;18305;white;dry;2004;254;white
http://winestyle.ru/products/Bollinger-La-Grande-Annee-Rose-Brut-AOC-2004-gift-box.html;Bollinger, "La Grande Annee" Rose Brut AOC, 2004, gift box;France;19796;white;dry;2004;275;white
http://winestyle.ru/products/Cristal-AOC-2007-gift-box.html;"Cristal" AOC, 2007, gift box;France;19941;white;dry;2007;277;white
http://winestyle.ru/products/Louis-Roederer-Brut-Premier-Bucket-Gift-Set.html;Louis Roederer Brut Premier, Bucket Gift Set;France;20010;white;dry;NA;278;white
http://winestyle.ru/products/Grand-Siecle-750-gift-box.html;Laurent-Perrier, Grand Siecle, gift box;France;20367;white;dry;NA;283;white
http://winestyle.ru/products/Alexandra-Rose-Brut-1998-750.html;"Alexandra" Rose Brut 1998;France;27345;not assigned;not assigned;1998;380;not assigned
http://winestyle.ru/products/Andre-Beaufort-Doux-Rose-Grand-Cru-1999.html;Andre Beaufort Doux Rose Grand Cru, 1999;France;20537;rose;sweet;1999;285;rose
http://winestyle.ru/products/Cuvee-des-Enchanteleurs-1990.html;Cuvee des Enchanteleurs 1990;France;21099;white;dry;1990;293;white
http://winestyle.ru/products/Ayala-Brut-Majeur-AOC-wooden-box.html;Ayala, "Brut Majeur" AOC, wooden box, 3000 ìë;France;22967;white;dry;3000;319;white
